subset_file,fraction,macro_f1,f1_label_0,f1_label_1,f1_label_2,f1_avg
subset_train_10.csv,10,0.33711122825513967,0.0,0.7970479704797048,0.21428571428571427,0.3985239852398524
subset_train_20.csv,20,0.4363539651837524,0.125,0.8436363636363636,0.3404255319148936,0.4843181818181818
subset_train_30.csv,30,0.48871391076115483,0.0,0.8661417322834646,0.6,0.4330708661417323
subset_train_40.csv,40,0.49528803769569846,0.0,0.8682170542635659,0.6176470588235294,0.43410852713178294
subset_train_50.csv,50,0.6165000979815795,0.2857142857142857,0.8724279835390947,0.691358024691358,0.5790711346266901
subset_train_60.csv,60,0.5617142028625283,0.21052631578947367,0.8512396694214877,0.6233766233766234,0.5308829926054807
subset_train_70.csv,70,0.5587114415107237,0.2,0.825531914893617,0.6506024096385542,0.5127659574468085
subset_train_80.csv,80,0.5161878125264853,0.1111111111111111,0.8070175438596491,0.6304347826086957,0.45906432748538006
subset_train_90.csv,90,0.5617627014522801,0.14285714285714285,0.859504132231405,0.6829268292682927,0.5011806375442739
subset_train_100.csv,100,0.7209046991655687,0.5,0.9090909090909091,0.7536231884057971,0.7045454545454546
